2017-11-20 18:18:22,806: Key.shift
2017-11-20 18:18:27,748: Key.shift
2017-11-20 18:18:29,036: Key.shift
2017-11-20 18:18:40,939: Key.shift
2017-11-20 18:18:41,155: Key.shift
2017-11-20 18:18:41,379: Key.shift
2017-11-20 18:18:43,771: Key.cmd
2017-11-20 18:18:44,027: Key.cmd
2017-11-20 18:18:44,227: Key.cmd
2017-11-20 18:18:46,940: Key.alt
2017-11-20 18:18:49,939: Key.ctrl
2017-11-20 18:18:50,275: Key.ctrl
2017-11-20 18:19:00,832: Key.caps_lock
2017-11-20 18:19:01,012: Key.caps_lock
2017-11-20 18:19:24,570: Key.shift
2017-11-20 18:19:24,785: Key.shift
2017-11-20 18:19:24,978: Key.shift
2017-11-20 18:19:25,178: Key.shift
2017-11-20 18:19:25,346: Key.shift
2017-11-20 18:19:36,401: Key.ctrl
